"","AQSID","Param","Site_code","site_name","status","AgencyID","Agency_name","EPA_reg","lat","long","elev","GMT_offset","country","MSA_code","MSA_name","state_code","state_name","county_code","county_name"
"9870","015102510","NOX","2510","JPN Site 015102510","Active","MOE","Japan Ministry of Environment","",37.936863,139.086465,0,9,"",NA,"","na","N/A","N/A","N/A"
"9871","015102510","NO","2510","JPN Site 015102510","Active","MOE","Japan Ministry of Environment","",37.936863,139.086465,0,9,"",NA,"","na","N/A","N/A","N/A"
"9872","CC0050129","NO2","0129","Rivi re-des-Prairies","Active","QC2","Canada-Quebec2","CA",45.651722,-73.573896,0,-5,"CA",NA,"","na","N/A","N/A","N/A"
"9873","CC0050129","CO","0129","Rivi re-des-Prairies","Active","QC2","Canada-Quebec2","CA",45.651722,-73.573896,0,-5,"CA",NA,"","na","N/A","N/A","N/A"
"9874","CC0050129","O3","0129","Rivi re-des-Prairies","Active","QC2","Canada-Quebec2","CA",45.651722,-73.573896,0,-5,"CA",NA,"","na","N/A","N/A","N/A"
"9875","CC0050129","PM2.5","0129","Rivi re-des-Prairies","Active","QC2","Canada-Quebec2","CA",45.651722,-73.573896,0,-5,"CA",NA,"","na","N/A","N/A","N/A"
"9876","022210160","NOX","0160","JPN Site 022210160","Active","MOE","Japan Ministry of Environment","",35.150211,138.76412,0,9,"",NA,"","na","N/A","N/A","N/A"
"9877","022210160","NO","0160","JPN Site 022210160","Active","MOE","Japan Ministry of Environment","",35.150211,138.76412,0,9,"",NA,"","na","N/A","N/A","N/A"
"9878","023201060","TEMP","1060","JPN Site 023201060","Active","MOE","Japan Ministry of Environment","",34.702179,137.387033,0,9,"",NA,"","na","N/A","N/A","N/A"
"9879","023201060","WS","1060","JPN Site 023201060","Active","MOE","Japan Ministry of Environment","",34.702179,137.387033,0,9,"",NA,"","na","N/A","N/A","N/A"
"9880","023201060","WD","1060","JPN Site 023201060","Active","MOE","Japan Ministry of Environment","",34.702179,137.387033,0,9,"",NA,"","na","N/A","N/A","N/A"
"9881","023201060","RHUM","1060","JPN Site 023201060","Active","MOE","Japan Ministry of Environment","",34.702179,137.387033,0,9,"",NA,"","na","N/A","N/A","N/A"
"9882","023201060","NOX","1060","JPN Site 023201060","Active","MOE","Japan Ministry of Environment","",34.702179,137.387033,0,9,"",NA,"","na","N/A","N/A","N/A"
"9883","023201060","NO","1060","JPN Site 023201060","Active","MOE","Japan Ministry of Environment","",34.702179,137.387033,0,9,"",NA,"","na","N/A","N/A","N/A"
"9884","023233510","NOX","3510","JPN Site 023233510","Active","MOE","Japan Ministry of Environment","",35.219614,136.854554,0,9,"",NA,"","na","N/A","N/A","N/A"
"9885","023233510","NO","3510","JPN Site 023233510","Active","MOE","Japan Ministry of Environment","",35.219614,136.854554,0,9,"",NA,"","na","N/A","N/A","N/A"
"9886","025202090","NOX","2090","JPN Site 025202090","Active","MOE","Japan Ministry of Environment","",35.255155,136.236548,0,9,"",NA,"","na","N/A","N/A","N/A"
"9887","025202090","NO","2090","JPN Site 025202090","Active","MOE","Japan Ministry of Environment","",35.255155,136.236548,0,9,"",NA,"","na","N/A","N/A","N/A"
"9888","027103510","SO2","3510","JPN Site 027103510","Active","MOE","Japan Ministry of Environment","",34.697424,135.470248,0,9,"",NA,"","na","N/A","N/A","N/A"
"9889","027103510","NOX","3510","JPN Site 027103510","Active","MOE","Japan Ministry of Environment","",34.697424,135.470248,0,9,"",NA,"","na","N/A","N/A","N/A"
"9890","027103510","NO","3510","JPN Site 027103510","Active","MOE","Japan Ministry of Environment","",34.697424,135.470248,0,9,"",NA,"","na","N/A","N/A","N/A"
"9891","027203520","WS","3520","JPN Site 027203520","Active","MOE","Japan Ministry of Environment","",34.810467,135.487742,0,9,"",NA,"","na","N/A","N/A","N/A"
"9892","027203520","WD","3520","JPN Site 027203520","Active","MOE","Japan Ministry of Environment","",34.810467,135.487742,0,9,"",NA,"","na","N/A","N/A","N/A"
"9893","027203520","NOX","3520","JPN Site 027203520","Active","MOE","Japan Ministry of Environment","",34.810467,135.487742,0,9,"",NA,"","na","N/A","N/A","N/A"
"9894","027203520","NO","3520","JPN Site 027203520","Active","MOE","Japan Ministry of Environment","",34.810467,135.487742,0,9,"",NA,"","na","N/A","N/A","N/A"
"9895","027203520","TEMP","3520","JPN Site 027203520","Active","MOE","Japan Ministry of Environment","",34.810467,135.487742,0,9,"",NA,"","na","N/A","N/A","N/A"
"9896","028204560","NO","4560","JPN Site 028204560","Active","MOE","Japan Ministry of Environment","",34.720475,135.366922,0,9,"",NA,"","na","N/A","N/A","N/A"
"9897","028204560","CO","4560","JPN Site 028204560","Active","MOE","Japan Ministry of Environment","",34.720475,135.366922,0,9,"",NA,"","na","N/A","N/A","N/A"
"9898","028204560","SO2","4560","JPN Site 028204560","Active","MOE","Japan Ministry of Environment","",34.720475,135.366922,0,9,"",NA,"","na","N/A","N/A","N/A"
"9899","028204560","WS","4560","JPN Site 028204560","Active","MOE","Japan Ministry of Environment","",34.720475,135.366922,0,9,"",NA,"","na","N/A","N/A","N/A"
"9900","028204560","WD","4560","JPN Site 028204560","Active","MOE","Japan Ministry of Environment","",34.720475,135.366922,0,9,"",NA,"","na","N/A","N/A","N/A"
"9901","028204560","NOX","4560","JPN Site 028204560","Active","MOE","Japan Ministry of Environment","",34.720475,135.366922,0,9,"",NA,"","na","N/A","N/A","N/A"
"9902","000053401","O3","3401","Catherine","Inactive","QC1","Canada-Quebec1","CA",46.8369,-71.6228,130.8,-5,"CA",NA,"","00","CC","005","QUEBEC"
"9903","000030701","O3","0701","AYLESFORD MOUNTAIN","Active","NS1","Canada-Nova Scotia1","CA",45.07254,-64.84025,230,-4,"CA",NA,"","00","CC","003","NOVA SCOTIA"
"9904","000030701","PM2.5","0701","AYLESFORD MOUNTAIN","Active","NS1","Canada-Nova Scotia1","CA",45.07254,-64.84025,230,-4,"CA",NA,"","00","CC","003","NOVA SCOTIA"
"9905","000101704","PM10","1704","Quesnel West Correlieu School","Inactive","BC1","British Columbia Ministry of Environment","CA",52.9664,-122.5167,0,-8,"CA",NA,"","00","CC","010","BRITISH COLUMBIA"
"9906","000101704","PM2.5","1704","Quesnel West Correlieu School","Inactive","BC1","British Columbia Ministry of Environment","CA",52.9664,-122.5167,0,-8,"CA",NA,"","00","CC","010","BRITISH COLUMBIA"
"9907","000101603","O3","1603","SQUAMISH ELEMENTARY","Active","BC1","British Columbia Ministry of Environment","CA",49.70516,-123.15133,0,-8,"CA",NA,"","00","CC","010","BRITISH COLUMBIA"
"9908","000101603","PM2.5","1603","SQUAMISH ELEMENTARY","Active","BC1","British Columbia Ministry of Environment","CA",49.70516,-123.15133,0,-8,"CA",NA,"","00","CC","010","BRITISH COLUMBIA"
"9909","000101603","NO2","1603","SQUAMISH ELEMENTARY","Active","BC1","British Columbia Ministry of Environment","CA",49.70516,-123.15133,0,-8,"CA",NA,"","00","CC","010","BRITISH COLUMBIA"
"9910","000101603","SO2","1603","SQUAMISH ELEMENTARY","Active","BC1","British Columbia Ministry of Environment","CA",49.70516,-123.15133,0,-8,"CA",NA,"","00","CC","010","BRITISH COLUMBIA"
"9911","000101603","NO","1603","SQUAMISH ELEMENTARY","Active","BC1","British Columbia Ministry of Environment","CA",49.70516,-123.15133,0,-8,"CA",NA,"","00","CC","010","BRITISH COLUMBIA"
"9912","CC0091601","O3","1601","Carrot Creek","Active","AB1","Alberta Environmental Monitoring and Reporting Agency (AEMERA)","CA",53.6072,-115.8769,0,-7,"CA",NA,"","00","CC","009","ALBERTA"
"9913","CC0092201","PM2.5","2201","Lamont","Active","AB1","Alberta Environmental Monitoring and Reporting Agency (AEMERA)","CA",53.75733,-112.778,0,-7,"CA",NA,"","00","CC","009","ALBERTA"
"9914","390290020","RWD","0020","E Liverpool - Met","Inactive","OH1","Ohio EPA-DAPC","R5",40.6397,-80.5329,0,-5,"US",20620," East Liverpool-Salem, OH ","39","OH","029","COLUMBIANA"
"9915","390290020","RWS","0020","E Liverpool - Met","Inactive","OH1","Ohio EPA-DAPC","R5",40.6397,-80.5329,0,-5,"US",20620," East Liverpool-Salem, OH ","39","OH","029","COLUMBIANA"
"9916","420410101","PM2.5","0101","Carlisle","Active","PA1","Pennsylvania Dept. of Environmental Protection","R3",40.2464,-77.1867,150.1,-5,"US",25420," Harrisburg-Carlisle, PA ","42","PA","041","CUMBERLAND"
"9917","390350060","O3","0060","GT Craig NCore PAMS","Active","OH1","Ohio EPA-DAPC","R5",41.492191,-81.678552,298.9,-5,"US",17460," Cleveland-Elyria-Mentor, OH ","39","OH","035","CUYAHOGA"
"9918","390350060","PM2.5","0060","GT Craig NCore PAMS","Active","OH1","Ohio EPA-DAPC","R5",41.492191,-81.678552,298.9,-5,"US",17460," Cleveland-Elyria-Mentor, OH ","39","OH","035","CUYAHOGA"
"9919","390350060","PM10","0060","GT Craig NCore PAMS","Active","OH1","Ohio EPA-DAPC","R5",41.492191,-81.678552,298.9,-5,"US",17460," Cleveland-Elyria-Mentor, OH ","39","OH","035","CUYAHOGA"
